2020-10-28 15:33:11.454 [main] INFO  com.simit.NBTestServerApplication - Starting NBTestServerApplication on DESKTOP-97M998T with PID 15600 (C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server\target\classes started by Haita in C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server)
2020-10-28 15:33:11.465 [main] INFO  com.simit.NBTestServerApplication - No active profile set, falling back to default profiles: default
2020-10-28 15:33:13.306 [main] INFO  com.simit.NBTestServerApplication - Started NBTestServerApplication in 2.69 seconds (JVM running for 5.236)
2020-10-28 15:33:13.390 [main] INFO  com.simit.netty.NettyServer - Server start listen at 8088
2020-10-28 15:40:55.585 [main] INFO  com.simit.NBTestServerApplication - Starting NBTestServerApplication on DESKTOP-97M998T with PID 10020 (C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server\target\classes started by Haita in C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server)
2020-10-28 15:40:55.598 [main] INFO  com.simit.NBTestServerApplication - No active profile set, falling back to default profiles: default
2020-10-28 15:40:57.390 [main] INFO  com.simit.NBTestServerApplication - Started NBTestServerApplication in 2.623 seconds (JVM running for 4.975)
2020-10-28 15:40:57.505 [main] INFO  com.simit.netty.NettyServer - Server start listen at 8088
2020-10-28 15:41:16.142 [main] INFO  com.simit.NBTestServerApplication - Starting NBTestServerApplication on DESKTOP-97M998T with PID 21868 (C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server\target\classes started by Haita in C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server)
2020-10-28 15:41:16.148 [main] INFO  com.simit.NBTestServerApplication - No active profile set, falling back to default profiles: default
2020-10-28 15:41:17.913 [main] INFO  com.simit.NBTestServerApplication - Started NBTestServerApplication in 2.497 seconds (JVM running for 4.728)
2020-10-28 15:41:17.998 [main] INFO  com.simit.netty.NettyServer - Server start listen at 8089
2020-10-28 15:47:11.403 [main] INFO  com.simit.NBTestServerApplication - Starting NBTestServerApplication on DESKTOP-97M998T with PID 22552 (C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server\target\classes started by Haita in C:\Users\Haita\Desktop\WXZX\表厂线下\加密插件抽测\nb-test-server)
2020-10-28 15:47:11.411 [main] INFO  com.simit.NBTestServerApplication - No active profile set, falling back to default profiles: default
2020-10-28 15:47:13.168 [main] INFO  com.simit.NBTestServerApplication - Started NBTestServerApplication in 2.436 seconds (JVM running for 4.815)
2020-10-28 15:47:13.246 [main] INFO  com.simit.netty.NettyServer - Server start listen at 8088
